Title,Link,Image,Author,Date,Body
ایرانی صدر نے اپنے اور ٹرمپ کے دستخط شدہ معاہدے کی کاپی میڈیا کے ساتھ شیئر کر دی,https://express.pk/story/2818039/iranian-president-shares-copy-of-agreement-he-and-trump-signed-with-media-2818039,https://img.express.pk/logo/facebook-16.webp,N/A,N/A,"['\n                                                        صفحۂ اول\n                                                    ', '\n                                                        تازہ ترین\n                                                    ']"
پاکستان میں اب ڈالر کمانا بہت آسان ہوگیا، فیس بک نے بہت بڑی خوشخبری سنا دی,https://www.express.pk/story/2818355/it-has-now-become-very-easy-to-earn-dollars-in-pakistan-facebook-has-announced-great-news-2818355,https://img.express.pk/logo/facebook-16.webp,N/A,N/A,"['\n                                                        صفحۂ اول\n                                                    ', '\n                                                        تازہ ترین\n                                                    ']"
سرکاری و نجی ملازمین کے لیے متوازن نظام کی ضرورت,https://www.express.pk/story/2818322/need-for-a-balanced-system-for-public-and-private-employees-2818322,https://img.express.pk/logo/facebook-16.webp,N/A,N/A,"['\n                                                        صفحۂ اول\n                                                    ', '\n                                                        تازہ ترین\n                                                    ']"
مدد کیلئے شیاطین کو بلانے والی جادوئی منتر لکھی قدیم تختی دریافت,https://express.pk/story/2818299/ancient-magical-tablet-2818299,https://img.express.pk/logo/facebook-16.webp,N/A,N/A,"['\n                                                        صفحۂ اول\n                                                    ', '\n                                                        تازہ ترین\n                                                    ']"
بیوی کو ذبح کرکے لاش قبرستان میں پھینکنے والا ملزم پولیس مقابلے میں مارا گیا,https://express.pk/story/2818394/the-accused-who-slaughtered-his-wife-and-threw-her-body-in-the-cemetery-was-killed-in-a-police-encounter-2818394,https://img.express.pk/logo/facebook-16.webp,N/A,N/A,"['\n                                                        صفحۂ اول\n                                                    ', '\n                                                        تازہ ترین\n                                                    ']"
آم ضرور کھائیں، مگر حد سے زیادہ نہیں! پسندیدہ پھل کے ممکنہ نقصانات بھی جان لیجیے,https://express.pk/story/2818151/eat-mangoes-but-not-too-much-also-know-the-possible-harms-of-your-favorite-fruit-2818151,https://img.express.pk/logo/facebook-16.webp,N/A,N/A,"['\n                                                        صفحۂ اول\n                                                    ', '\n                                                        تازہ ترین\n                                                    ']"
بلند آواز میں چیخنے کا ریکارڈ آسٹریلوی شہری کے نام,https://express.pk/story/2818316/aussie-town-criers-1224-decibel-yell-earns-guinness-world-record-2818316,https://img.express.pk/logo/facebook-16.webp,N/A,N/A,"['\n                                                        صفحۂ اول\n                                                    ', '\n                                                        تازہ ترین\n                                                    ']"
پاکستان میں اب ڈالر کمانا بہت آسان ہوگیا، فیس بک نے بہت بڑی خوشخبری سنا دی,https://express.pk/story/2818355/it-has-now-become-very-easy-to-earn-dollars-in-pakistan-facebook-has-announced-great-news-2818355,https://img.express.pk/logo/facebook-16.webp,N/A,N/A,"['\n                                                        صفحۂ اول\n                                                    ', '\n                                                        تازہ ترین\n                                                    ']"
بلند آواز میں چیخنے کا ریکارڈ آسٹریلوی شہری کے نام,https://www.express.pk/story/2818316/aussie-town-criers-1224-decibel-yell-earns-guinness-world-record-2818316,https://img.express.pk/logo/facebook-16.webp,N/A,N/A,"['\n                                                        صفحۂ اول\n                                                    ', '\n                                                        تازہ ترین\n                                                    ']"
بنوں میں زور دار دھماکا، 7 افراد جاں بحق، 3 زخمی,https://express.pk/story/2818365/powerful-explosion-in-bannu-5-people-killed-7-injured-2818365,https://img.express.pk/logo/facebook-16.webp,N/A,N/A,"['\n                                                        صفحۂ اول\n                                                    ', '\n                                                        تازہ ترین\n                                                    ']"
بنوں میں زور دار دھماکا، 7 افراد جاں بحق، 3 زخمی,https://www.express.pk/story/2818365/powerful-explosion-in-bannu-5-people-killed-7-injured-2818365/,https://img.express.pk/logo/facebook-16.webp,N/A,N/A,"['\n                                                        صفحۂ اول\n                                                    ', '\n                                                        تازہ ترین\n                                                    ']"
21 سال پرانے فراڈ کیس کا فیصلہ جاری، ہرجانہ 50 لاکھ سے 15 کروڑ ہوگیا,https://www.express.pk/story/2818388/verdict-issued-in-21-year-old-fraud-case-damages-increased-from-rs-5-million-to-rs-150-million-2818388,https://img.express.pk/logo/facebook-16.webp,N/A,N/A,"['\n                                                        صفحۂ اول\n                                                    ', '\n                                                        تازہ ترین\n                                                    ']"
لاہاور ایئرپورٹ پر پی آئی اے کی اسکیننگ مشین کو کنٹینر میں بند کرنے کا معاملہ سامنے آ گیا,https://express.pk/story/2818396/the-case-of-pias-scanning-machine-being-locked-in-a-container-at-lahore-airport-has-come-to-light-2818396,https://img.express.pk/logo/facebook-16.webp,N/A,N/A,"['\n                                                        صفحۂ اول\n                                                    ', '\n                                                        تازہ ترین\n                                                    ']"
کوئٹہ میں تیزاب گردی کا شکار لیڈی ڈاکٹر ماہ نور کو علاج کیلیے امریکا بھیجنے کا فیصلہ,https://www.express.pk/story/2818376/decision-to-send-acid-attack-victim-lady-dr-mah-noor-to-america-for-treatment-in-quetta-2818376/,https://img.express.pk/logo/facebook-16.webp,N/A,N/A,"['\n                                                        صفحۂ اول\n                                                    ', '\n                                                        تازہ ترین\n                                                    ']"
’’شوبز کی کمائی حرام ہے‘‘، تنقید پر نعمان اعجاز نے دو ٹوک جواب دے دیا,https://express.pk/story/2818232/showbiz-earnings-are-forbidden-noman-ijaz-responded-bluntly-to-criticism-2818232,https://img.express.pk/logo/facebook-16.webp,N/A,N/A,"['\n                                                        صفحۂ اول\n                                                    ', '\n                                                        تازہ ترین\n                                                    ']"
سرکاری ملازمین کیلیے پیٹرول اور گاڑیوں کی سہولت بحال، جمعہ کی چھٹی ختم,https://www.express.pk/story/2818377/petrol-and-vehicle-facilities-restored-for-government-employees-friday-holiday-ends-2818377/,https://img.express.pk/logo/facebook-16.webp,N/A,N/A,"['\n                                                        صفحۂ اول\n                                                    ', '\n                                                        تازہ ترین\n                                                    ']"
بنوں میں زور دار دھماکا، 7 افراد جاں بحق، 3 زخمی,https://www.express.pk/story/2818365/powerful-explosion-in-bannu-5-people-killed-7-injured-2818365,https://img.express.pk/logo/facebook-16.webp,N/A,N/A,"['\n                                                        صفحۂ اول\n                                                    ', '\n                                                        تازہ ترین\n                                                    ']"
فارماسیوٹیکل اے آئی میں اونٹولوجیکل فرگمنٹیشن کا مسئلہ اور اس کا حل,https://express.pk/story/2817998/the-problem-of-ontological-fragmentation-in-pharmaceutical-ai-and-its-solution-2817998,https://img.express.pk/logo/facebook-16.webp,N/A,N/A,"['\n                                                        صفحۂ اول\n                                                    ', '\n                                                        تازہ ترین\n                                                    ']"
چاول پکانے سے پہلے کتنی بار دھونا چاہیے؟ نئی تحقیق نے دلچسپ حقائق سامنے رکھ دیے,https://express.pk/story/2817833/how-many-times-should-rice-be-washed-before-cooking-2817833,https://img.express.pk/logo/facebook-16.webp,N/A,N/A,"['\n                                                        صفحۂ اول\n                                                    ', '\n                                                        تازہ ترین\n                                                    ']"
ایس آئی ایف کی معاونت؛ خام وسائل کی ویلیو ایڈیشن سے برآمدات میں نمایاں اضافہ,https://www.express.pk/story/2818381/sif-support-significant-increase-in-exports-through-value-addition-of-raw-materials-2818381,https://img.express.pk/logo/facebook-16.webp,N/A,N/A,"['\n                                                        صفحۂ اول\n                                                    ', '\n                                                        تازہ ترین\n                                                    ']"
پاکستانی وزیراعظم اور فیلڈ مارشل عظیم انسان ہیں، ایران سے معاہدے میں پاکستان نے مدد کی؛ ٹرمپ,https://www.express.pk/story/2818344/pakistani-prime-minister-and-field-marshal-are-great-people-pakistan-helped-in-the-deal-with-iran-trump-2818344,https://img.express.pk/logo/facebook-16.webp,N/A,N/A,"['\n                                                        صفحۂ اول\n                                                    ', '\n                                                        تازہ ترین\n                                                    ']"
حکومت نے پیٹرول پر لیوی کی شرح بھی کم کردی، اطلاق فوری ہوگا,https://www.express.pk/story/2818330/petroleum-products-levy-rates-revised-effect-immediately-2818330,https://img.express.pk/logo/facebook-16.webp,N/A,N/A,"['\n                                                        صفحۂ اول\n                                                    ', '\n                                                        تازہ ترین\n                                                    ']"
فیفا ورلڈ کپ: امریکا نے آسٹریلیا کو شکست دے کر تاریخ رقم کردی,https://express.pk/story/2818353/fifa-world-cup-usa-makes-history-by-defeating-australia-2818353,https://img.express.pk/logo/facebook-16.webp,N/A,N/A,"['\n                                                        صفحۂ اول\n                                                    ', '\n                                                        تازہ ترین\n                                                    ']"
کراچی میں سندھ رینجرز کی بڑی کارروائی، فتنۃ الخوارج کا مطلوب دہشتگرد گرفتار,https://www.express.pk/story/2818372/major-operation-by-sindh-rangers-in-karachi-wanted-terrorist-of-fitnatul-khawarij-arrested-2818372/,https://img.express.pk/logo/facebook-16.webp,N/A,N/A,"['\n                                                        صفحۂ اول\n                                                    ', '\n                                                        تازہ ترین\n                                                    ']"
کراچی کے لیے اچھی خبر، آئندہ 3 روز کے موسم کی پیشگوئی جاری,https://www.express.pk/story/2818383/good-news-for-karachi-weather-forecast-for-the-next-3-days-released-2818383/,https://img.express.pk/logo/facebook-16.webp,N/A,N/A,"['\n                                                        صفحۂ اول\n                                                    ', '\n                                                        تازہ ترین\n                                                    ']"
فیفا ورلڈکپ: برازیل نے ہیٹی کو شکست دے گروپ میں ٹاپ پوزیشن حاصل کرلی,https://express.pk/story/2818371/fifa-world-cup-brazil-cruise-past-haiti-to-go-top-of-world-cup-group-2818371,https://img.express.pk/logo/facebook-16.webp,N/A,N/A,"['\n                                                        صفحۂ اول\n                                                    ', '\n                                                        تازہ ترین\n                                                    ']"
شرپسند کالعدم ایکشن کمیٹی کا آزاد جموں و کشمیر کے عوام کے خلاف مکروہ ایجنڈا کھل کر سامنے آ گیا,https://www.express.pk/story/2818392/the-nefarious-agenda-of-the-prohibited-action-committee-against-the-people-of-azad-jammu-and-kashmir-has-been-exposed-2818392,https://img.express.pk/logo/facebook-16.webp,N/A,N/A,"['\n                                                        صفحۂ اول\n                                                    ', '\n                                                        تازہ ترین\n                                                    ']"
